"","Year","Country","iso3","Cluster","fitGHG","lwrGHG","uprGHG","fitBio","lwrBio","uprBio","fitWat","lwrWat","uprWat","fitEF","lwrEF","uprEF"
"21",2010,"Burundi","BDI","10",1.65202596671522,1.56353536120279,1.74552482944924,6.54083595659596e-12,6.27779873970074e-12,6.81489432602263e-12,2.31082544294501,2.13081988563562,2.50603735386538,0.1722411420581,0.165261657502973,0.179515390718774
"22",2010,"Cambodia","KHM","9",3.55425002490427,3.4611988297442,3.64980281715443,1.6418339106681e-11,1.59135262937204e-11,1.69391657164221e-11,2.99228853376842,2.48228191429923,3.60708049224525,0.329375553503486,0.309216086033654,0.350849325587546
"23",2010,"Cameroon","CMR","9",2.76700587067964,2.68036815847818,2.85644397921909,1.72059419367177e-11,1.64203233419853e-11,1.80291478897216e-11,2.37257513103903,2.07442636720912,2.71357558957281,0.284861644115077,0.267899578259076,0.302897663427717
"24",2010,"Canada","CAN","1",24.5569739282498,24.1145635958371,25.0075008040719,9.8288435378847e-12,9.57215526456534e-12,1.00924152003509e-11,32.33851166201,30.7340678903715,34.0267139463691,1.16895261567968,1.14002790130375,1.198611206043
"25",2010,"Central African Republic","CAF","11",2.36295471032864,2.316971305652,2.40985071737567,8.13359070121187e-12,7.70131955374794e-12,8.59012500820654e-12,0.412561531814089,0.359230868804715,0.473809553447133,0.117509583864477,0.113267515417491,0.121910525264954
"26",2010,"Chad","TCD","11",4.65638493967476,4.51263839683426,4.80471041545016,5.79847294926641e-12,5.45778094154699e-12,6.1604320333612e-12,1.93088806177473,1.53368419371709,2.43096246435721,0.220142727858715,0.201600143673174,0.240390804024636
"27",2010,"Chile","CHL","3",9.06550421866766,8.6802551718688,9.46785147572886,1.5150914550543e-11,1.5032647604043e-11,1.52701119432958e-11,12.1319042576076,11.3390736599831,12.9801697501254,0.698636175752078,0.671193188344889,0.727201220967525
"28",2010,"China","CHN","5",7.47130812228119,6.82585149904715,8.17779951202528,5.25638887864607e-12,4.93643076694305e-12,5.5970852925917e-12,26.1998828922312,24.383097317556,28.1520372341046,0.594920547789324,0.548467895513039,0.645307521328814
"29",2010,"Colombia","COL","4",4.91234944977769,4.82915230752465,4.99697992112005,1.04915651532015e-10,1.0288768647379e-10,1.06983588742578e-10,4.49528001138016,4.24835212020606,4.75656014589814,0.779758113432379,0.766153623659816,0.793604176351966
"30",2010,"Costa Rica","CRI","4",5.11781624216217,4.94728143878505,5.29422944957245,5.74069028776599e-11,5.52324042649074e-11,5.96670114557904e-11,28.2804307114839,26.3543828858478,30.3472391932394,1.19355585905439,1.15175570168455,1.23687305094256
"31",2010,"Croatia","HRV","2",9.47037138384364,9.17862697441884,9.77138894497924,7.6676292894301e-12,7.40790318334863e-12,7.93646156881197e-12,14.0174392738653,12.3705572233903,15.8835693694525,0.592784366091527,0.557512321236378,0.630287961893397
"32",2010,"Cuba","CUB","6",4.86146932284507,4.64126009485841,5.09212659793519,1.05919943055129e-10,1.02887054479157e-10,1.09042234648428e-10,29.2148765838283,28.2310689562545,30.2329683346698,1.45472506603189,1.41197618142915,1.49876821264755
"33",2010,"Cyprus","CYP","2",11.332855209544,10.7872098328597,11.9061007610382,2.02427426570276e-11,1.93446669096253e-11,2.11825115517889e-11,49.3573970654193,44.8380166907105,54.3323015796589,1.32327910515933,1.24320943950789,1.4085057066848
"34",2010,"Czechia","CZE","2",13.5844052300753,13.3770222060834,13.7950032983408,8.127053300464e-12,7.93459310641616e-12,8.32418177753481e-12,14.5378197058872,14.0290378298132,15.0650532391996,0.689957191495131,0.674858522413929,0.705393664427736
"35",2010,"Denmark","DNK","1",18.0337811723608,17.5548573358599,18.5257707966822,1.38356259399325e-11,1.29489042215461e-11,1.47830690438821e-11,31.0501996626399,29.429306886499,32.7603671676039,1.16604275690381,1.11436008745536,1.22012240588462
"36",2010,"Djibouti","DJI","8",4.15223850306023,3.69950743206231,4.66037300989681,1.83051108084844e-11,1.77860595318674e-11,1.88393095789729e-11,44.0633160621641,35.4305100668536,54.7995447632739,0.881674779259625,0.783464444344076,0.992196164094356
"37",2010,"Dominican Republic","DOM","5",4.35062216045732,4.24989136974091,4.45374046918668,6.06842801159046e-11,5.90601504870681e-11,6.23530726355314e-11,54.6878684764983,48.1579825638687,62.1031612887091,1.43495185579268,1.36228745372461,1.5114921764956
"38",2010,"Ecuador","ECU","6",4.83244814564575,4.69673709103358,4.97208053755805,8.288623318212e-11,7.74818693687989e-11,8.86675516103035e-11,3.57768334801045,3.43053198985156,3.7311467074193,0.664377591461843,0.640831629635153,0.688788698348024
"39",2010,"Egypt","EGY","6",3.30590244084969,3.16389798206667,3.45428045100148,1.2076751587984e-12,1.15303940587119e-12,1.26489977857848e-12,549.114749668631,512.244645719097,588.638672602141,0.765535907229359,0.745346547933334,0.786272139962866
"40",2010,"El Salvador","SLV","5",4.34492571369011,4.22728584225837,4.46583934986521,2.56171261058066e-11,2.53374441340621e-11,2.58998952873306e-11,7.86674118634214,7.10914594552051,8.7050705340894,0.563767905839191,0.543061820018401,0.585263481869406
"41",2010,"Equatorial Guinea","GNQ","9",11.0616012954149,9.99932437787852,12.2367290623574,3.30868040744401e-11,3.07137085658462e-11,3.56432568705734e-11,24.692413925656,19.0572698785382,31.9938432609687,1.22746729758581,1.07897229251936,1.39639912636179
"42",2010,"Eritrea","ERI","10",2.79326626449163,2.63649024819105,2.959364795565,2.59844801741294e-11,2.50473796860879e-11,2.69566405101747e-11,9.14236082405879,7.06155176880475,11.8363164604304,0.513995578443707,0.456946541074834,0.578167095954479
"43",2010,"Estonia","EST","2",16.7863907148515,16.3498304491151,17.2346076681732,4.50353948403987e-12,4.35465908175109e-12,4.6575099229468e-12,21.2155068546923,18.8569848025664,23.8690191360943,0.689793946422121,0.658320280581139,0.722772338261512
"44",2010,"Ethiopia","ETH","11",2.74949491262433,2.70885409795133,2.79074545958913,8.45320386180382e-12,8.16287089092464e-12,8.75386325277537e-12,2.20549246568875,1.83507023093639,2.65068711497095,0.218906045018845,0.207703193357023,0.230713142977164
"45",2010,"Finland","FIN","1",23.3766645033661,22.8840607211668,23.8798721066788,7.23435408421565e-12,6.99236194670568e-12,7.48472110206834e-12,19.8283094550712,18.603807644773,21.1334079212827,0.882037680668182,0.852952494215009,0.912114655147948
"46",2010,"France","FRA","2",12.400975469552,12.1045900379254,12.7046180097469,1.05850234666605e-11,1.02160214631431e-11,1.09673537975597e-11,26.4771109706805,25.2475848712051,27.7665134677203,0.892628119456759,0.860788487186209,0.925645465182141
"47",2010,"Gabon","GAB","7",13.6436265114838,13.1482316084762,14.1576867466237,4.50792423544507e-11,4.37661368205579e-11,4.64317446975754e-11,8.83687633480188,8.30686906481142,9.40069992042837,1.03609491768283,1.00436242617484,1.06882998653845
"48",2010,"Georgia","GEO","4",4.46646561373894,4.26798002749639,4.67418191982839,1.11836734985215e-11,1.05845999674213e-11,1.18166537522913e-11,73.6803224846378,63.275764355139,85.795722529258,0.909838838110285,0.856918986932748,0.966026805284035
"49",2010,"Germany","DEU","1",16.810099546344,16.5591063532276,17.0648971466335,9.79574620663214e-12,9.53193661340391e-12,1.00668570969946e-11,35.115397180243,33.7085391996226,36.5809717182887,1.05770917680545,1.03184965112168,1.08421677662276
"50",2010,"Ghana","GHA","8",2.21535962258141,2.13684293635684,2.29676134537596,1.01541569800526e-11,9.79204825815605e-12,1.05296564372699e-11,4.08869310885299,3.64084588123105,4.59162839728041,0.266004315153184,0.25500579521825,0.277477206428014
"51",2010,"Greece","GRC","2",13.2099272471664,12.3750890032049,14.1010846734303,2.10070490372045e-11,2.02733321845977e-11,2.17673200060709e-11,53.5418041132415,48.4676156549905,59.1472212725932,1.44871836639541,1.35260523446932,1.55166108458454
"52",2010,"Guatemala","GTM","7",4.8602942441668,4.76855512459124,4.95379827278515,3.30139544077676e-11,3.10340209793138e-11,3.51202052213815e-11,8.1993886812881,7.34208160984419,9.15680025358124,0.64572113572559,0.612355750688206,0.680904498168169
